protein_1,protein_2,overlap,trial_idx,hamming_dist,reading_frame,max_barrier,n_mutations,start_z1,start_z2,end_z1,end_z2,success,error
PF00004,PF00041,27,1,280,0,0.2377587086331144,271,-0.011045211610146582,0.0020435115644806736,0.0025923742036744633,-0.0041469473160992846,True,
PF00004,PF00041,27,3,280,0,0.1682051322538269,270,0.004916636106654005,-0.004352177872229804,-0.00014514115956682487,0.008863239739612398,True,
PF00004,PF00041,27,6,280,0,0.2471421259360035,274,0.17484357264637024,0.05664629442542897,0.012819145306658598,0.002387689490950855,True,
PF00004,PF00041,27,0,280,0,0.22508346409544286,273,0.00426835562620639,0.00908901605149601,-0.008606582780482278,0.004527436120789676,True,
PF00004,PF00041,27,7,280,0,0.23688042356093292,271,-0.008843357811932467,-0.007707515231408037,0.010506688147244132,0.015380562989698282,True,
PF00004,PF00041,27,8,280,0,0.2475528913493995,275,0.15461602871102162,-0.0022164377126536053,0.0058934955737872125,0.01855593140391903,True,
PF00004,PF00041,27,9,280,0,0.1814993659567568,274,0.0028181309546016237,0.004151599524629726,0.0012567490524666779,-0.016553668329716196,True,
PF00004,PF00041,27,11,280,0,0.25909490566121957,270,0.0028920915067666884,0.0059324589186582075,-0.015638881689826654,-0.027038208803128273,True,
PF00004,PF00041,27,12,280,0,0.23877656278695117,268,0.019377649911917132,-0.0011536344936923185,-0.0024069051759076044,-0.0039202563373433915,True,
PF00004,PF00041,27,13,280,0,0.23221141415876295,272,0.007789972601090737,0.0012144962231171277,0.008230829027852233,-0.00014462540393448322,True,
PF00004,PF00041,27,14,280,0,0.20460825530903937,270,6.243347545121365e-06,-0.010107196181740531,-0.00330998621401681,-0.0009316802229468818,True,
PF00004,PF00041,27,15,280,0,0.22373538514223582,270,0.009680042140154933,-0.012796466237466463,-0.00515587867564716,-0.003911110593942927,True,
PF00004,PF00041,27,16,280,0,0.1608347202849387,275,0.0004493388762558856,0.0011404238140953218,0.003025729000675124,0.003045879435851372,True,
PF00004,PF00041,27,17,280,0,0.19642533232287893,274,-0.0014205260485166175,-0.002153164446718545,0.008130054395186447,0.0006078265275942802,True,
PF00004,PF00041,27,19,280,0,0.21119174906059968,271,-0.005402369778039522,-0.01015428995817219,0.00040569377840999124,0.0034189759929894505,True,
PF00004,PF00041,39,2,280,0,0.30745175662013663,267,-0.01041193219741378,0.008961528896634223,-0.12299739500229719,0.18445436161783943,True,
PF00004,PF00041,39,0,280,0,0.23109401387767725,265,-0.09023175307383252,-0.036912544853707915,-0.06489928719280942,-0.0008549973015373196,True,
PF00004,PF00041,39,4,280,0,0.21288214642670134,270,0.00764194996319657,0.013108783881766948,0.000594123902601972,0.01722006544909971,True,
PF00004,PF00041,39,1,280,0,0.23535198342763164,266,-0.06692965754193227,-0.0184928598224768,0.047142291424889175,0.13587366863495212,True,
