overlap,trial,seed,error,hamming_distance,n_mutations,max_distance_from_natural,start_distance,end_distance,start_energy,end_energy,mean_e1_generated,mean_e2_generated,ga_converged,protein_1,protein_2,nat_mean_1,nat_mean_2
12,0,12042,,259,259,0.19922863692913528,0.003955177520228522,0.009439784319037477,266.58651913016394,266.40696936461393,145.85269581652216,120.66621963739323,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,1,12142,,261,261,0.25335434571292087,0.010177996382792114,0.004659320912626242,266.33417672103064,266.4768888766981,145.9072537846215,120.60713889292533,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,2,12242,,265,265,0.29075195960757505,0.019217270342202872,0.012499438437188086,265.9958008250832,266.47695724860756,145.8405183150794,120.63920806879317,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,3,12342,,266,266,0.22574392769126972,0.00586444954261944,0.004181268005480729,266.74409134362213,266.6774078598095,145.86007363020408,120.69440630646558,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,4,12442,,257,257,0.17971855465367187,0.001993261822009499,0.022900812195767537,266.59836043180184,267.0907603958756,145.92914398141198,120.64530548372078,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,5,12542,,255,255,0.23504358310729082,0.0010377920820339886,0.005193143636089279,266.5548516117865,266.60452885061943,145.83918637406157,120.6839314212047,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,6,12642,,258,258,0.1736667004915046,0.006042962439341996,0.006798537565821911,266.3808805859739,266.71627118102316,145.87219537709635,120.65550400518886,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,7,12742,,270,270,0.24711619517813294,0.0005971303286830493,0.01684885673088578,266.5145786084351,267.1517822777794,145.83015509077993,120.65228919628208,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,8,12842,,264,264,0.24579063629620215,0.014770498514095128,0.00642603397401827,266.69957174807183,266.6984543331149,145.92863086621867,120.63198371014882,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,9,12942,,264,264,0.3039088227204492,0.014590174436069164,0.002158956408484703,266.59602312259807,266.6038165354544,145.78268255733252,120.68689477184539,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,10,13042,,253,253,0.22236631600756934,0.002058649567196815,0.006490890895622397,266.5171284831918,266.3466754932458,145.90025774409898,120.68150628810548,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,11,13142,,264,264,0.20849964829492756,0.0035918888979583757,0.013211987589729926,266.6076950985384,266.2035805651027,145.8580056694722,120.66306049142707,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,12,13242,,268,268,0.3456542034890522,0.010983242754698329,0.002504051405754716,266.4294679579655,266.5904176502025,145.96419190652014,120.65454133633338,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,13,13342,,263,263,0.20010978385322387,0.0024893757626735474,0.00035191969230339513,266.6276112136971,266.54754017712827,145.77614890038947,120.6723458817903,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,14,13442,,260,260,0.18520313862078228,0.021122660234660667,0.010784219568605133,265.816892706469,266.67208926548386,145.8197494227938,120.65827492374622,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,15,13542,,266,266,0.31444382784296954,0.001518900522794137,0.02036087194181153,266.5565321032378,265.8277420828584,145.90735073970544,120.6356152352487,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,16,13642,,270,270,0.24270695863882946,0.010518691594406198,0.007337934181244387,266.86160845809883,266.7136779323925,145.96071698249241,120.65100578924309,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,17,13742,,254,254,0.2220206082763903,0.01225459193080665,0.003895736275670263,266.2670348955487,266.6263083808279,145.94949172543028,120.64661772008756,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,18,13842,,271,271,0.29856877082804995,0.003404126953688571,0.010747702356866062,266.62939935121676,266.86956638686763,145.31392497114444,120.7759487163784,True,PF00004,PF00041,145.87937104727615,120.65601144257766
12,19,13942,,256,256,0.292904877113471,0.006185275999442835,0.0013697259740055793,266.74792022428346,266.5201018460769,145.99995431074566,120.64868780663228,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,0,18042,,264,264,0.2704079191350909,0.0032199053703519604,0.0027253400483935276,266.45336596916763,266.59377935869725,145.82725475644978,120.65947630739421,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,1,18142,,253,253,0.2544830912665949,0.006993207692890423,0.007602128013320483,266.77172916212345,266.53801496273934,145.87748255904845,120.6771562597727,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,2,18242,,259,259,0.2607814353391079,0.0030066563237499734,0.006724384067642758,266.6027947082793,266.7010350119186,145.92161161158285,120.64887064757042,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,3,18342,,261,261,0.22945967164993922,0.007525969209099493,0.007024981750968827,266.5655430461793,266.4983983573327,145.7663833229457,120.66879182264583,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,4,18442,,260,260,0.39525120651907236,0.03746152047721861,0.003239603415740545,265.4736769295861,266.5921324861993,145.80733235259578,120.60509055579769,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,5,18542,,263,263,0.1851059756945555,0.005306606942748906,0.012605330527688492,266.3831519120417,266.6106491279667,145.9660684079184,120.70517606365374,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,6,18642,,257,257,0.20234359546043149,0.01562626261725356,0.003295745499481587,267.0469832095699,266.59593031297493,145.88700663244168,120.63028482256979,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,7,18742,,247,247,0.20279465352155296,0.010557674633469204,0.0018654246045664198,266.4382208472277,266.48186013390125,145.837844349403,120.6339539621327,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,8,18842,,263,263,0.24934559686862956,0.012530552458445336,0.008741170661797089,266.3084450267846,266.2198759764874,145.75758591738804,120.66483662442924,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,9,18942,,261,261,0.25266960583889464,0.007754055645575382,0.0032413255142552493,266.5048019235297,266.5299506060388,145.8131375146203,120.65085679464003,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,10,19042,,259,259,0.25290817276012945,0.0038009423889830626,0.005515884299341412,266.45474007896314,266.6558477555483,146.65918551728558,120.6761649865694,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,11,19142,,252,252,0.2274385557289906,0.007699327832321401,0.005236694975106913,266.4565608565053,266.62559102865293,146.22390600643146,120.62625030379458,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,12,19242,,268,268,0.23550502702553372,0.004275175284015217,0.0054032399950812516,266.6293580442575,266.3465642063487,146.73507640921952,120.70095778294339,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,13,19342,,262,262,inf,0.017295630317226137,0.08162717754355422,266.4132810188439,265.0181456031147,146.51966706993758,120.61262227727441,False,PF00004,PF00041,145.87937104727615,120.65601144257766
18,14,19442,,260,260,0.21159293411757193,0.0031029151495759696,0.0037307883893734016,266.416856389372,266.6614655155878,145.94679610948333,120.62198480484047,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,15,19542,,258,258,0.22933146251173464,0.008482710660516032,0.005859205954311273,266.21653400481694,266.62099435601664,145.74876300372526,120.64531183858652,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,16,19642,,258,258,0.23192756572972395,0.005636874002661191,0.00489184754795995,266.3831120678231,266.7116832913323,145.94017884528836,120.64451808305937,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,17,19742,,242,242,0.26677124301824634,0.004011909794547797,0.003288845180400677,266.4531356419416,266.6569621089387,147.2534007450036,120.59441270389743,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,18,19842,,261,261,0.20294181848801265,0.008191918324485483,0.00799002586127059,266.4110254376248,266.8218331703363,145.8458370563781,120.62438934063728,True,PF00004,PF00041,145.87937104727615,120.65601144257766
18,19,19942,,264,264,0.23073014642966438,0.037297822183521956,0.0059836506644599255,265.133127836191,266.60408084191954,145.7846024923122,120.67077740594718,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,0,24042,,256,256,0.2283376060999467,0.006287221142356628,0.0014869165893901487,266.3196816605197,266.5218496245701,145.8061104330432,120.61737300885683,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,1,24142,,259,259,0.3504245731517642,0.014740288055305152,0.015392647881176334,265.9793342318585,266.3038522715637,145.84703772536204,120.66857166078869,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,2,24242,,258,258,0.283977351188993,0.0061424570732287525,0.007960085842362338,266.74156854269347,266.5190530614809,145.88735403147274,120.58048599462715,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,3,24342,,254,254,0.2670299297510302,0.012403639514456813,0.008717132597250989,266.5542535736004,266.34463510729404,145.92450506636342,120.67335353442806,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,4,24442,,264,264,0.24689648511434453,0.009137606917765896,0.002264982928932977,266.832995595448,266.6167579436968,146.01984720357623,120.63357118960646,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,5,24542,,241,241,0.2295775519025678,0.006240298346764063,0.0024271552910531155,266.6168573006933,266.57440944386565,145.8346140147973,120.71596991204919,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,6,24642,,253,253,0.2558756052852964,0.007608938327591781,0.008117485054142412,266.3471680023553,266.77091117185535,145.79717227778607,120.67538608077412,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,7,24742,,248,248,0.20441543016639202,0.00341906081517215,0.0026497011228013585,266.6561000141776,266.5668147029585,145.90017614656801,120.62755572152628,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,8,24842,,249,249,0.19902015748269242,0.002443023001264656,0.0049016058570802825,266.5027571775525,266.5488208679248,145.86448974058942,120.6325643451701,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,9,24942,,252,252,0.25815645481655847,0.008565502025732908,0.005209083449603162,266.62283727586635,266.569589580042,145.95830270459504,120.67766453819999,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,10,25042,,257,257,0.21652454863564385,0.00397811056866234,0.01278963175520911,266.68252225135905,266.3114194431515,145.78162855046574,120.68026656686008,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,11,25142,,236,236,0.19798102787202745,0.017740254735345646,0.012993857381472403,266.44814493259713,266.3883903211147,145.9303545068236,120.60535350320097,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,12,25242,,254,254,0.18631257720460231,0.010003365187455926,0.010065072437134975,266.63245574815255,266.68280476483136,145.8751457245876,120.66491626711554,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,13,25342,,258,258,0.29905453157222495,0.004395295805611057,0.00807230588861599,266.6525510519259,266.3923500112526,145.8837475547114,120.66594242990519,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,14,25442,,256,256,0.25233438507358874,0.004769724758927753,0.0016134073632189778,266.4862624622979,266.4841992725146,145.85110514256166,120.69269603264895,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,15,25542,,260,260,0.2063781918787209,0.01301470057583366,0.010022247331148202,266.9475527521212,266.9092240844161,145.9378656081074,120.63913349615777,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,16,25642,,253,253,0.2096160555459749,0.005735931229139389,0.007193240025510527,266.5206055192705,266.482862007925,145.86330986202464,120.61043431269148,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,17,25742,,255,255,0.23752809365788471,0.0032133079293640123,0.00428596720007039,266.6250117056853,266.3834694887299,145.8838821155952,120.61959421848223,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,18,25842,,261,261,0.18374408204571216,0.009108407187887734,0.000413262895798992,266.8817745993449,266.54570114600745,146.42767026328673,120.68622884025453,True,PF00004,PF00041,145.87937104727615,120.65601144257766
24,19,25942,,260,260,0.212256952440191,0.004896522526014091,0.012622132004252662,266.48481019135755,266.1227994302849,145.847801479937,120.63788640059849,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,0,30042,,258,258,0.2793795936510924,0.003945598324194473,0.003157692520789454,266.41117973815756,266.41466112903333,145.90560115651496,120.68916312792592,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,1,30142,,249,249,0.22285587987954664,0.009369299694524073,0.015231269229980887,266.73733682550653,266.3508225631606,146.33400489247526,120.65436065143744,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,2,30242,,249,249,0.3292969134584457,0.0017795404253381649,0.009369012039797679,266.5149696971271,266.23642557243835,145.77055189773355,120.63451611205271,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,3,30342,,251,251,0.21588661928925876,0.003569492647251097,0.003393774620704429,266.4183255121347,266.6064553044209,145.85188293025064,120.97752234814949,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,4,30442,,245,245,0.24409015029148304,0.001656822973998189,0.006985574984145347,266.47665311677844,266.33094211979915,145.87103835951638,120.62352134913569,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,5,30542,,244,244,0.19483677282249645,0.00675060473711901,0.007723960834498869,266.7136445061151,266.6671805363868,145.86416659636447,120.67586645483065,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,6,30642,,243,243,0.27273830261110615,0.011983666827621222,0.004021705287764507,266.3598748898684,266.45818420055326,145.93409224149264,120.68712383928829,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,7,30742,,245,245,0.1910014699342853,0.003920555862081595,0.007383698207057333,266.42975918109545,266.3437889488182,145.7260190794431,120.63405859210327,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,8,30842,,253,253,0.18282793209568995,0.01395369648582629,0.009008608930339185,266.43063827346657,266.5632086807367,146.95722525432032,120.62557742734117,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,9,30942,,249,249,0.1639015981557299,0.010902441555196249,0.015374908445275169,266.29653940372225,266.23128256422797,145.88668396315921,120.64754089560589,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,10,31042,,252,252,0.2580398197269842,0.028244105126809492,0.006382425440622654,265.51689866361227,266.68683819405857,145.88896658484654,120.68513184931439,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,11,31142,,245,245,0.2383089222909075,0.009395832111505633,0.0076320009740268304,266.45164572149866,266.68492132297825,145.858884755685,120.61032867788013,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,12,31242,,254,254,0.2055813409173532,0.009734049229067733,0.005943601035790857,266.54465583968204,266.60482366188694,145.80042017723088,120.6458977167323,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,13,31342,,252,252,0.2903119108371739,0.009979294818986734,0.009103272505919354,266.50525409989046,266.44748234680753,146.9839547127913,120.67093982542472,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,14,31442,,246,246,0.22964313411514933,0.004775205489198503,0.017032439388101114,266.47181017397094,266.329854344247,145.88202102404605,120.61859145543785,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,15,31542,,248,248,0.25367255973637864,0.013786221969633283,0.008444578188027374,266.0827037606857,266.48464701501393,146.59050703553402,120.67646786839835,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,16,31642,,248,248,0.24441260267048445,0.005775769532938797,0.005344138983014151,266.33418846547374,266.496795188522,145.86425081136457,120.92303786149948,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,17,31742,,244,244,0.19485549495293128,0.0039503184059330836,0.011717044351388598,266.63314994169014,266.91717798129883,146.10929893179883,120.67701889013338,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,18,31842,,243,243,0.18982047873740424,0.0015740033394261626,0.00615627072147483,266.5176536077349,266.42034326912756,145.80091093937608,120.70622279618975,True,PF00004,PF00041,145.87937104727615,120.65601144257766
30,19,31942,,250,250,0.2652817886326785,0.12667654165624223,0.01542275052972816,263.38950698673096,265.9849334849861,145.72637983202455,120.59827949920928,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,0,36042,,241,241,0.2520713404337223,0.01763666234286646,0.0024611388844188835,266.43527466245354,266.58760099908665,145.87389338015157,120.62696177461035,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,1,36142,,238,238,0.21972225460067463,0.006863865555772522,0.015864410207378752,266.51529580154045,266.92340747092476,145.92482873195053,120.69228385778761,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,2,36242,,249,249,0.21199228873643694,0.011340625808356921,0.011695284810242245,266.16898801659227,266.172572906029,145.81406252218767,120.62796074620881,True,PF00004,PF00041,145.87937104727615,120.65601144257766
