pair_idx,seq_idx_1,seq_idx_2,hamming_distance,bin_idx,n_mutations,max_distance_from_natural,start_distance,end_distance,protein_1,protein_2,overlap
0,16,28,255.0,0,255,0.311633002041585,0.017262765183355126,0.009549131004986914,PF00004,PF00041,12
1,0,16,261.0,0,261,0.3319357100557407,0.004354680881585203,0.017262765183355126,PF00004,PF00041,12
2,6,15,262.0,0,262,0.26019751743134845,0.021875096856609596,0.0028129435154573695,PF00004,PF00041,12
3,10,27,266.0,1,266,0.3529838919388063,0.005096752406723003,0.0015451552637723556,PF00004,PF00041,12
4,16,23,271.0,1,271,0.26197489462027074,0.017262765183355126,0.005520277496684858,PF00004,PF00041,12
5,9,29,271.0,1,271,0.2996962753129504,0.012083822149115863,0.0041614379480768935,PF00004,PF00041,12
6,23,25,275.0,2,275,0.30548872039711306,0.005520277496684858,0.0012538365232532488,PF00004,PF00041,12
7,23,24,277.0,2,277,0.38031959167953244,0.005520277496684858,0.003018980587567925,PF00004,PF00041,12
8,9,28,281.0,2,281,0.3337006423086268,0.012083822149115863,0.009549131004986914,PF00004,PF00041,12
9,14,19,282.0,3,282,0.33978082905717194,0.017767322464618197,0.004521399972772222,PF00004,PF00041,12
10,6,9,288.0,3,288,0.5898565505429133,0.021875096856609596,0.012083822149115863,PF00004,PF00041,12
11,9,26,288.0,3,288,0.2691598499648996,0.012083822149115863,0.0026579110346187486,PF00004,PF00041,12
12,6,23,291.0,4,291,0.33956659823080565,0.021875096856609596,0.005520277496684858,PF00004,PF00041,12
13,18,19,293.0,4,293,0.4465899744378184,0.012326745272106938,0.004521399972772222,PF00004,PF00041,12
14,1,6,297.0,4,297,0.2941059864829384,0.005197449208110593,0.021875096856609596,PF00004,PF00041,12
15,11,17,302.0,5,302,0.38722489273203925,0.009660749141941365,0.007329811415294908,PF00004,PF00041,12
16,20,21,303.0,5,303,0.25690486551135794,0.0029725398055273594,0.006931124639492538,PF00004,PF00041,12
17,5,23,306.0,5,306,0.6961241615084294,0.008473701128584886,0.005520277496684858,PF00004,PF00041,12
18,7,12,308.0,6,308,0.5993206436460539,0.003991542032281721,0.006763380717081799,PF00004,PF00041,12
19,3,11,308.0,6,308,0.31284058086439775,0.009287863074603678,0.009660749141941365,PF00004,PF00041,12
20,5,16,310.0,6,310,0.6211656297816042,0.008473701128584886,0.017262765183355126,PF00004,PF00041,12
21,5,22,316.0,7,316,0.5489905201770354,0.008473701128584886,0.008593834999396772,PF00004,PF00041,12
22,5,11,317.0,7,317,0.6646944773453262,0.008473701128584886,0.009660749141941365,PF00004,PF00041,12
23,5,13,318.0,7,318,0.6663342925450674,0.008473701128584886,0.005460152924707775,PF00004,PF00041,12
24,5,6,325.0,8,325,0.674883300748224,0.008473701128584886,0.021875096856609596,PF00004,PF00041,12
25,5,28,326.0,8,326,0.48550488137438697,0.008473701128584886,0.009549131004986914,PF00004,PF00041,12
26,5,17,332.0,8,332,0.5748330014162438,0.008473701128584886,0.007329811415294908,PF00004,PF00041,12
27,5,19,335.0,9,335,0.884958981334551,0.008473701128584886,0.004521399972772222,PF00004,PF00041,12
28,5,21,342.0,9,342,1.009937769533541,0.008473701128584886,0.006931124639492538,PF00004,PF00041,12
29,5,7,342.0,9,342,1.0841025547179097,0.008473701128584886,0.003991542032281721,PF00004,PF00041,12
