overlap,hamming_distance,n_mutations,max_distance_from_natural,start_distance,end_distance,relative_distance,start_energy,end_energy,mean_e1,mean_e2,nat_mean_1,nat_mean_2,protein_1,protein_2
12,272,272,0.2508007273840472,0.0020494871812016665,0.0226930227362641,0.24875124020284553,266.52377012325974,265.9339979915233,145.84099599601575,120.69075220059666,145.87937104727615,120.65601144257766,PF00004,PF00041
15,258,258,0.2125130958531176,0.012402851940395363,0.0076331638907280635,0.20011024391272222,266.7982145343361,266.2976968233281,145.80439272098312,120.81529360950121,145.87937104727615,120.65601144257766,PF00004,PF00041
18,262,262,0.2914384341466402,0.017573551321752413,0.013096557220392761,0.2738648828248878,266.2427814032243,266.2463144326568,145.88219996039035,120.7219256317714,145.87937104727615,120.65601144257766,PF00004,PF00041
21,260,260,0.2644566702260341,0.005018635757836695,0.0023565959405307626,0.2594380344681974,266.3711065233833,266.55086056228095,145.83375620433117,120.70785677888281,145.87937104727615,120.65601144257766,PF00004,PF00041
24,252,252,0.25379814669884115,0.0029987151088815608,0.01530609135123844,0.2507994315899596,266.43615401724674,266.22469609777477,145.86738351166164,120.6390346096975,145.87937104727615,120.65601144257766,PF00004,PF00041
27,254,254,0.26318664955679844,0.010177944807268044,0.014445637358726076,0.2530087047495304,266.33811549396125,266.308114849828,145.86929378665363,120.59699810893717,145.87937104727615,120.65601144257766,PF00004,PF00041
30,247,247,0.24165493733035354,0.01408172679723814,0.002965647602374129,0.2275732105331154,266.8261308776692,266.5828154442645,145.8643206231503,120.58901613516404,145.87937104727615,120.65601144257766,PF00004,PF00041
33,245,245,0.21532534838494996,0.004983016925868345,0.02671644660903305,0.21034233145908163,266.46936905029656,267.12198132441364,148.48145031047338,121.13199554539649,145.87937104727615,120.65601144257766,PF00004,PF00041
36,244,244,0.2943984889160593,0.005168509894498166,0.004454785316682475,0.2892299790215611,266.6554369780514,266.6480922555475,145.92713971887017,120.66262492857483,145.87937104727615,120.65601144257766,PF00004,PF00041
39,246,246,0.23325271110218918,0.028151267279911102,0.00820239983790006,0.20510144382227807,265.5946595746185,266.67038016969707,145.62739742449824,121.59718635248166,145.87937104727615,120.65601144257766,PF00004,PF00041
42,229,229,0.1746225033118014,0.016749890622162332,0.01302359782169165,0.15787261268963906,266.5872341768859,266.29819758261885,145.73206125216078,120.72029464920017,145.87937104727615,120.65601144257766,PF00004,PF00041
45,236,236,0.2466119268720936,0.02015872746609422,0.05275602423449699,0.2264531994059994,266.5185031966497,264.76656341213356,145.79002898442377,120.59167638187773,145.87937104727615,120.65601144257766,PF00004,PF00041
48,240,240,0.29588805389256406,0.14325096069276302,0.01719181675491418,0.15263709319980104,271.79519344566404,266.95052500247954,149.20465281829092,122.61507596565775,145.87937104727615,120.65601144257766,PF00004,PF00041
51,230,230,0.2704698732894661,0.008845433593252157,0.08023474295217722,0.2616244396962139,266.2927424334983,267.5957890365319,144.75980798780725,123.01729616270502,145.87937104727615,120.65601144257766,PF00004,PF00041
54,231,231,0.25544124097439147,0.02626683862369283,0.015486863072530443,0.22917440235069864,266.1335497304653,266.92227718836807,147.3858777225025,122.96674332745322,145.87937104727615,120.65601144257766,PF00004,PF00041
57,229,229,0.19041822104913214,0.09766343228279516,0.06248166982102015,0.09275478876633698,264.16016289050526,266.8965557424413,146.50467299976933,124.8707112104228,145.87937104727615,120.65601144257766,PF00004,PF00041
60,221,221,0.2322836764496355,0.021858580824304523,0.02262740867274756,0.21042509562533096,267.15987009845674,266.12546144115436,147.41103589775926,120.62217659684038,145.87937104727615,120.65601144257766,PF00004,PF00041
